date,equity,cash,shares,close,drawdownPct
2021-03-10,351013.71,2.14,901,389.5799865722656,0.78
2021-03-11,354572.67,2.14,901,393.5299987792969,0
2021-03-12,355050.2,2.14,901,394.05999755859375,0
2021-03-15,357167.55,2.14,901,396.4100036621094,0
2021-03-16,356717.05,2.14,901,395.9100036621094,0.13
2021-03-17,357933.41,2.14,901,397.260009765625,0
2021-03-18,352725.63,2.14,901,391.4800109863281,1.45
2021-03-19,350923.63,2.14,901,389.4800109863281,1.96
2021-03-22,353725.73,2.14,901,392.5899963378906,1.18
2021-03-23,350941.64,2.14,901,389.5,1.95
2021-03-24,349157.65,2.14,901,387.5199890136719,2.45
2021-03-25,351121.85,2.14,901,389.70001220703125,1.9
2021-03-26,356780.13,2.14,901,395.9800109863281,0.32
2021-03-29,356599.92,2.14,901,395.7799987792969,0.37
2021-03-30,355653.88,2.14,901,394.7300109863281,0.64
2021-03-31,357095.46,2.14,901,396.3299865722656,0.23
2021-04-01,360951.74,2.14,901,400.6099853515625,0
2021-04-05,366132.49,2.14,901,406.3599853515625,0
2021-04-06,365916.26,2.14,901,406.1199951171875,0.06
2021-04-07,366339.73,2.14,901,406.5899963378906,0
2021-04-08,368078.65,2.14,901,408.5199890136719,0
2021-04-09,370754.62,2.14,901,411.489990234375,0
2021-04-12,370889.79,2.14,901,411.6400146484375,0
2021-04-13,371988.99,2.14,901,412.8599853515625,0
2021-04-14,370718.6,2.14,901,411.45001220703125,0.34
2021-04-15,374701.01,2.14,901,415.8699951171875,0
2021-04-16,375953.41,2.14,901,417.260009765625,0
2021-04-19,374106.34,2.14,901,415.2099914550781,0.49
2021-04-20,371367.32,2.14,901,412.1700134277344,1.22
2021-04-21,374881.22,2.14,901,416.07000732421875,0.29
2021-04-22,371457.4,2.14,901,412.2699890136719,1.2
2021-04-23,375484.87,2.14,901,416.739990234375,0.12
2021-04-26,376268.74,2.14,901,417.6099853515625,0
2021-04-27,376187.65,2.14,901,417.5199890136719,0.02
2021-04-28,376079.54,2.14,901,417.3999938964844,0.05
2021-04-29,378476.2,2.14,901,420.05999755859375,0
2021-04-30,375989.43,2.14,901,417.29998779296875,0.66
2021-05-03,376800.35,2.14,901,418.20001220703125,0.44
2021-05-04,374475.76,2.14,901,415.6199951171875,1.06
2021-05-05,374592.89,2.14,901,415.75,1.03
2021-05-06,377584.22,2.14,901,419.07000732421875,0.24
2021-05-07,380332.26,2.14,901,422.1199951171875,0
2021-05-10,376566.08,2.14,901,417.94000244140625,0.99
2021-05-11,373205.34,2.14,901,414.2099914550781,1.87
2021-05-12,365276.55,2.14,901,405.4100036621094,3.96
2021-05-13,369664.42,2.14,901,410.2799987792969,2.8
2021-05-14,375340.71,2.14,901,416.5799865722656,1.31
2021-05-17,374385.65,2.14,901,415.5199890136719,1.56
2021-05-18,371160.08,2.14,901,411.94000244140625,2.41
2021-05-19,370186.99,2.14,901,410.8599853515625,2.67
2021-05-20,374169.42,2.14,901,415.2799987792969,1.62
2021-05-21,373863.08,2.14,901,414.94000244140625,1.7
2021-05-24,377674.32,2.14,901,419.1700134277344,0.7
2021-05-25,376836.37,2.14,901,418.239990234375,0.92
2021-05-26,377584.22,2.14,901,419.07000732421875,0.72
2021-05-27,377782.44,2.14,901,419.2900085449219,0.67
2021-05-28,378458.19,2.14,901,420.0400085449219,0.49
2021-06-01,378124.82,2.14,901,419.6700134277344,0.58
2021-06-02,378719.46,2.14,901,420.3299865722656,0.42
2021-06-03,377313.9,2.14,901,418.7699890136719,0.79
2021-06-04,380764.75,2.14,901,422.6000061035156,0
2021-06-07,380395.33,2.14,901,422.19000244140625,0.1
2021-06-08,380476.42,2.14,901,422.2799987792969,0.08
2021-06-09,379908.79,2.14,901,421.6499938964844,0.22
2021-06-10,381674.74,2.14,901,423.6099853515625,0
2021-06-11,382305.45,2.14,901,424.30999755859375,0
2021-06-14,383161.41,2.14,901,425.260009765625,0
2021-06-15,382458.63,2.14,901,424.4800109863281,0.18
2021-06-16,380323.24,2.14,901,422.1099853515625,0.74
2021-06-17,380197.11,2.14,901,421.9700012207031,0.77
2021-06-18,373845.07,2.14,901,414.9200134277344,2.43
2021-06-21,379196.99,2.14,901,420.8599853515625,1.03
2021-06-22,381224.24,2.14,901,423.1099853515625,0.51
2021-06-23,380764.75,2.14,901,422.6000061035156,0.63
2021-06-24,383017.25,2.14,901,425.1000061035156,0.04
2021-06-25,384377.74,2.14,901,426.6099853515625,0
2021-06-28,385152.61,2.14,901,427.4700012207031,0
2021-06-29,385359.85,2.14,901,427.70001220703125,0
2021-06-30,385684.2,2.14,901,428.05999755859375,0
2021-07-01,387819.56,2.14,901,430.42999267578125,0
2021-07-02,390783.86,2.14,901,433.7200012207031,0
2021-07-06,390072.06,2.14,901,432.92999267578125,0.18
2021-07-07,391450.59,2.14,901,434.4599914550781,0
2021-07-08,388261.07,2.14,901,430.9200134277344,0.81
2021-07-09,392405.65,2.14,901,435.5199890136719,0
2021-07-12,393811.21,2.14,901,437.0799865722656,0
2021-07-13,392468.73,2.14,901,435.5899963378906,0.34
2021-07-14,393054.37,2.14,901,436.239990234375,0.19
2021-07-15,391711.89,2.14,901,434.75,0.53
2021-07-16,388639.48,2.14,901,431.3399963378906,1.31
2021-07-19,382900.11,2.14,901,424.9700012207031,2.77
2021-07-20,388387.2,2.14,901,431.05999755859375,1.38
2021-07-21,391531.68,2.14,901,434.54998779296875,0.58
2021-07-22,392351.59,2.14,901,435.4599914550781,0.37
2021-07-23,396388.08,2.14,901,439.94000244140625,0
2021-07-26,397361.15,2.14,901,441.0199890136719,0
2021-07-27,395550.16,2.14,901,439.010009765625,0.46
2021-07-28,395387.96,2.14,901,438.8299865722656,0.5
2021-07-29,397027.79,2.14,901,440.6499938964844,0.08
2021-07-30,395099.66,2.14,901,438.510009765625,0.57
2021-08-02,394270.73,2.14,901,437.5899963378906,0.78
2021-08-03,397478.29,2.14,901,441.1499938964844,0
2021-08-04,395523.13,2.14,901,438.9800109863281,0.49
2021-08-05,398027.91,2.14,901,441.760009765625,0
2021-08-06,398685.62,2.14,901,442.489990234375,0
2021-08-09,398361.28,2.14,901,442.1300048828125,0.08
2021-08-10,398856.81,2.14,901,442.67999267578125,0
2021-08-11,399847.92,2.14,901,443.7799987792969,0
2021-08-12,401046.24,2.14,901,445.1099853515625,0
2021-08-13,401776.07,2.14,901,445.9200134277344,0
2021-08-16,402722.11,2.14,901,446.9700012207031,0
2021-08-17,400082.19,2.14,901,444.0400085449219,0.66
2021-08-18,395703.31,2.14,901,439.17999267578125,1.74
2021-08-19,396315.99,2.14,901,439.8599853515625,1.59
2021-08-20,399469.49,2.14,901,443.3599853515625,0.81
2021-08-23,402983.41,2.14,901,447.260009765625,0
2021-08-24,403623.11,2.14,901,447.9700012207031,0
2021-08-25,404470.05,2.14,901,448.9100036621094,0
2021-08-26,402082.41,2.14,901,446.260009765625,0.59
2021-08-27,405677.39,2.14,901,450.25,0
2021-08-30,407461.38,2.14,901,452.2300109863281,0
2021-08-31,406857.7,2.14,901,451.55999755859375,0.15
2021-09-01,407073.93,2.14,901,451.79998779296875,0.1
2021-09-02,408326.33,2.14,901,453.19000244140625,0
2021-09-03,408227.21,2.14,901,453.0799865722656,0.02
2021-09-07,406767.59,2.14,901,451.4599914550781,0.38
2021-09-08,406272.05,2.14,901,450.9100036621094,0.5
2021-09-09,404533.13,2.14,901,448.9800109863281,0.93
2021-09-10,401343.58,2.14,901,445.44000244140625,1.71
2021-09-13,402370.71,2.14,901,446.5799865722656,1.46
2021-09-14,400199.32,2.14,901,444.1700134277344,1.99
2021-09-15,403542.03,2.14,901,447.8800048828125,1.17
2021-09-16,402902.32,2.14,901,447.1700134277344,1.33
2021-09-17,397703.54,2.14,901,441.3999938964844,2.6
2021-09-20,391072.19,2.14,901,434.0400085449219,4.23
2021-09-21,390702.78,2.14,901,433.6300048828125,4.32
2021-09-22,394513.99,2.14,901,437.8599853515625,3.38
